title|ser|actors|genre|cert|year|mins|format|set|score
Depeche Mode: 101||Andrew Fletcher, David Gahan, Martin Gore, Alan Wilder|Documentary, Music|R|1989|117 min|DVD|No|8.2
Depeche Mode: One Night in Paris||Andrew Fletcher, David Gahan, Martin Gore, Christian Eigner|Documentary, Music|N/A|2002|118 min|DVD|No|8.6
Desperado|&nbsp;|Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin|Action, Thriller|R|1995|104 min|DVD|Yes|7.2
Die Another Day|&nbsp;|Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike|Action, Adventure, Thriller|PG-13|2002|133 min|Bluray|Yes|6.1
Die Hard|&nbsp;|Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason|Action, Thriller|R|1988|132 min|DVD|Yes|8.2
Die Hard 2|&nbsp;|Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson|Action, Thriller|R|1990|124 min|DVD|Yes|7.1
Die Hard with a Vengeance|&nbsp;|Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene|Action, Adventure, Thriller|R|1995|128 min|DVD|Yes|7.6
Dirty Dancing|&nbsp;|Jennifer Grey, Patrick Swayze, Jerry Orbach, Cynthia Rhodes|Drama, Music, Romance|PG-13|1987|100 min|DVD|No|6.9
Dirty Harry|&nbsp;|Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon|Action, Crime, Thriller|R|1971|102 min|Bluray|Yes|7.8
Dirty Harry|&nbsp;|Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon|Action, Crime, Thriller|R|1971|102 min|DVD|Yes|7.8
Django Unchained|&nbsp;|Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington|Drama, Western|R|2012|165 min|Bluray|No|8.4
Doctor Who|1|Matt Smith, David Tennant, Peter Capaldi, Jenna Coleman|Adventure, Drama, Family, Mystery, Sci-Fi|TV-PG|2005–|45 min|DVD|Yes|8.7
Doctor Who|2|Matt Smith, David Tennant, Peter Capaldi, Jenna Coleman|Adventure, Drama, Family, Mystery, Sci-Fi|TV-PG|2005–|45 min|DVD|Yes|8.7
Doctor Who|3|Matt Smith, David Tennant, Peter Capaldi, Jenna Coleman|Adventure, Drama, Family, Mystery, Sci-Fi|TV-PG|2005–|45 min|DVD|Yes|8.7
Doctor Who|4|Matt Smith, David Tennant, Peter Capaldi, Jenna Coleman|Adventure, Drama, Family, Mystery, Sci-Fi|TV-PG|2005–|45 min|DVD|Yes|8.7
Dogma|&nbsp;|Bud Cort, Barret Hackney, Jared Pfennigwerth, Kitao Sakurai|Adventure, Comedy, Drama, Fantasy|R|1999|130 min|DVD|No|7.3
Domino|&nbsp;|Keira Knightley, Mickey Rourke, Edgar Ramírez, Delroy Lindo|Action, Biography, Crime, Drama, Thriller|R|2005|127 min|DVD|No|6.0
Don Juan DeMarco|&nbsp;|Marlon Brando, Johnny Depp, Faye Dunaway, Géraldine Pailhas|Comedy, Drama, Romance|PG-13|1994|97 min|DVD|No|6.7
Donnie Brasco|&nbsp;|Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby|Biography, Crime, Drama|R|1997|127 min|DVD|No|7.8
Double Jeopardy|&nbsp;|Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau|Crime, Drama, Mystery, Thriller|R|1999|105 min|DVD|No|6.4
Dr. No|&nbsp;|Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord|Action, Adventure, Thriller|PG|1962|110 min|Bluray|Yes|7.3
DragonHeart|&nbsp;|Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer|Action, Adventure, Fantasy|PG-13|1996|103 min|DVD|No|6.4
Dune|&nbsp;|Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer|Action, Adventure, Sci-Fi|PG-13|1984|137 min|DVD|No|6.6
Eagle Has Landed, The|&nbsp;|Michael Caine, Donald Sutherland, Robert Duvall, Jenny Agutter|Adventure, Drama, Thriller, War|PG|1976|123 min|DVD|No|6.9
East Is East|&nbsp;|Om Puri, Linda Bassett, Jordan Routledge, Archie Panjabi|Comedy, Drama|R|1999|96 min|DVD|No|6.9
Eastwood Directs: The Untold Story|&nbsp;|Kevin Bacon, John Calley, Kevin Costner, Joel Cox|Documentary|NOT RATED|2013|65 min|Bluray|Yes|6.7
Eastwood Factor, The|&nbsp;|Morgan Freeman, Clint Eastwood, Deborah Hopper|Documentary|NOT RATED|2010|89 min|Bluray|Yes|6.8
Ed Wood|&nbsp;|Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette|Biography, Comedy, Drama|R|1994|127 min|DVD|No|7.9
Edward Scissorhands|&nbsp;|Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall|Drama, Fantasy, Romance|PG-13|1990|105 min|DVD|No|7.9
Eight Below|&nbsp;|Paul Walker, Bruce Greenwood, Moon Bloodgood, Wendy Crewson|Adventure, Drama, Family|PG|2006|120 min|DVD|No|7.3
El Mariachi|&nbsp;|Carlos Gallardo, Consuelo Gómez, Jaime de Hoyos, Peter Marquardt|Action, Crime, Thriller|R|1992|81 min|DVD|Yes|6.9
End of Days|&nbsp;|Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak|Action, Fantasy, Horror, Thriller|R|1999|122 min|DVD|No|5.7
Enemy at the Gates|&nbsp;|Jude Law, Ed Harris, Rachel Weisz, Joseph Fiennes|Drama, History, War|R|2001|131 min|DVD|No|7.6
Enemy of the State|&nbsp;|Will Smith, Gene Hackman, Jon Voight, Lisa Bonet|Action, Crime, Mystery, Thriller|R|1998|132 min|DVD|No|7.3
Enforcer, The|&nbsp;|Clint Eastwood, Tyne Daly, Harry Guardino, Bradford Dillman|Action, Crime, Thriller|R|1976|96 min|DVD|Yes|6.8
Equalizer, The|&nbsp;|Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour|Action, Crime, Thriller|R|2014|132 min|Bluray|No|7.2
Evelyn|&nbsp;|Sophie Vavasseur, Niall Beagan, Hugh McDonagh, Pierce Brosnan|Drama|PG|2002|94 min|DVD|No|7.0
Every Which Way but Loose|&nbsp;|Clint Eastwood, Sondra Locke, Geoffrey Lewis, Beverly D'Angelo|Action, Comedy|PG|1978|114 min|DVD|Yes|6.3
Ex Machina||Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno|Drama, Mystery, Sci-Fi, Thriller|R|2014|108 min|DVD|No|7.7
Excalibur|&nbsp;|Nigel Terry, Helen Mirren, Nicholas Clay, Cherie Lunghi|Adventure, Drama, Fantasy, Romance|PG|1981|140 min|DVD|No|7.4
Exit Wounds|&nbsp;|Steven Seagal, DMX, Isaiah Washington, Anthony Anderson|Action, Comedy, Crime, Drama, Thriller|R|2001|101 min|DVD|Yes|5.5
Exodus: Gods and Kings|&nbsp;|Christian Bale, Joel Edgerton, John Turturro, Aaron Paul|Action, Adventure, Drama, Fantasy|PG-13|2014|150 min|DVD|No|6.0
Fallen|&nbsp;|Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz|Action, Crime, Drama, Fantasy, Mystery, Thriller|R|1998|124 min|DVD|No|7.0
Family Man, The|&nbsp;|Nicolas Cage, Téa Leoni, Don Cheadle, Jeremy Piven|Comedy, Drama, Fantasy, Romance|PG-13|2000|125 min|DVD|No|6.7
Far and Away|&nbsp;|Tom Cruise, Nicole Kidman, Thomas Gibson, Robert Prosky|Adventure, Drama, Romance, Western|PG-13|1992|140 min|DVD|No|6.6
